p_archivos,p_maximos,maximum_time,maximum2_time
1,1,26828158,16505905
1,2,25708075,15288279
1,3,24950669,18226595
1,4,24321193,18157839
1,5,22412237,17856290
2,1,28793982,18024455
2,2,24459161,20392952
2,3,25124346,18094019
2,4,26683590,17859353
2,5,28607066,17916387
3,1,27537709,19412065
3,2,27789327,20364944
3,3,27312676,18253613
3,4,27400398,16484636
3,5,25422673,20387402
4,1,25677487,19411235
4,2,26597754,17116833
4,3,25052177,17192770
4,4,27631862,16153443
4,5,27427035,16771442
5,1,26944343,19273902
5,2,25901062,19542276
5,3,25340507,17084189
5,4,26506406,19141659
5,5,27355264,16973099
